Iteración,GD,Momentum,Nesterov,Adagrad,RMSprop,Adam
833,8.827918950871446e-161,2.9837206829884875e-37,2.7397837073188226e-118,0.8086876319062914,0.007499999000000038,2.8227613815297427e-37
834,5.649868128557726e-161,2.4543243923487433e-37,8.10904916942893e-119,0.8061227858208961,0.007499999000000038,1.8393462585006773e-37
835,3.615915602276945e-161,9.387281081915467e-38,3.132861561882571e-120,0.8035665178369802,0.007499999000000038,1.5032536720737398e-37
836,2.3141859854572442e-161,1.7582160286032414e-39,1.4388632993721266e-119,0.8010187961586647,0.007499999000000038,1.6179935166323069e-37
837,1.4810790306926361e-161,4.739112700135223e-38,4.9563143576951397e-119,0.7984795891293196,0.007499999000000038,2.0062272276730153e-37
838,9.478905796432872e-162,1.445107192619072e-37,6.351830687951876e-119,0.7959488652308145,0.007499999000000038,2.5210984926999927e-37
839,6.066499709717037e-162,1.7038412161955698e-37,4.963588279658299e-119,0.7934265930827756,0.007499999000000038,3.0514571628079067e-37
840,3.8825598142189043e-162,1.1189180657423015e-37,2.470620122544116e-119,0.7909127414418444,0.007499999000000038,3.521884452374348e-37
841,2.4848382811000984e-162,4.876225162547784e-38,6.1633696753346186e-120,0.7884072792009449,0.007499999000000038,3.888840420783435e-37
842,1.5902964999040633e-162,3.4857564986591556e-38,3.794256487321835e-122,0.7859101753885526,0.007499999000000038,4.1344126902341065e-37
843,1.0177897599386005e-162,4.892165172187668e-38,2.224283395378261e-120,0.7834213991679694,0.007499999000000038,4.259081545702892e-37
844,6.513854463607042e-163,5.251829586655125e-38,5.794518140863338e-120,0.7809409198366034,0.007499999000000038,4.274686166550928e-37
845,4.1688668567085066e-163,4.611626520958107e-38,6.68276341303595e-120,0.7784687068252529,0.007499999000000038,4.198445464197909e-37
846,2.668074788293444e-163,4.963294500174782e-38,4.823243071965602e-120,0.7760047296973954,0.007499999000000038,4.048520394650618e-37
847,1.7075678645078043e-163,5.868923017874837e-38,2.1813258975885423e-120,0.7735489581484803,0.007499999000000038,3.841259423662476e-37
848,1.0928434332849948e-163,5.025140078196918e-38,4.404710231227129e-121,0.7711013620052277,0.007499999000000038,3.589987167960404e-37
849,6.994197973023967e-164,2.2575718188806726e-38,2.980835881511047e-123,0.7686619112249296,0.007499999000000038,3.305002867235681e-37
850,4.476286702735339e-164,3.013029726824008e-39,3.145381670835422e-121,0.7662305758947576,0.007499999000000038,2.994357747796046e-37
851,2.864823489750617e-164,1.1463117058359236e-38,6.612331099702842e-121,0.7638073262310742,0.007499999000000038,2.6649711733279133e-37
852,1.8334870334403948e-164,3.3747567838316437e-38,6.925638484584831e-121,0.7613921325787478,0.007499999000000038,2.3237065300776374e-37
853,1.1734317014018528e-164,4.126099448901831e-38,4.616841869463166e-121,0.7589849654104736,0.007499999000000038,1.978134676300016e-37
854,7.509962888971859e-165,2.6722444598052025e-38,1.8801991464598312e-121,0.7565857953260973,0.007499999000000038,1.6368395691958405e-37
855,4.806376248941989e-165,8.521261265065731e-39,2.885592130041966e-122,0.7541945930519441,0.007499999000000038,1.3092438467124952e-37
856,3.076080799322873e-165,3.9390426811455515e-39,2.915808623386683e-123,0.7518113294401523,0.007499999000000038,1.0050334350089033e-37
857,1.9686917115666383e-165,1.0442393687634092e-38,4.177278992636314e-122,0.7494359754680094,0.007499999000000038,7.333282682285135e-38
858,1.2599626954026487e-165,1.5353097957763265e-38,7.386700254749037e-122,0.7470685022372947,0.007499999000000038,5.017766990358802e-38
859,8.063761250576952e-166,1.3967363572148058e-38,7.073288011739119e-122,0.7447088809736239,0.007499999000000038,3.1574630717284974e-38
860,5.1608072003692487e-166,1.128401468754756e-38,4.3500964620033486e-122,0.7423570830257997,0.007499999000000038,1.777506296132455e-38
